prof_id,rec_id,x,y,cds2d,bathymetry,cds3d_1,slopd_1
1,1,740328.335,3466432.652,0,-396,0,0
1,2,740317.9117,3466453.154,23,-396,,0
1,3,740307.4885,3466473.657,46,-396.9393141,,-1.352096528
1,4,740297.0653,3466494.16,69,-397.4821813,,-1.711373836
1,5,740286.642,3466514.662,92,-398.1693751,,-2.06588047
1,6,740276.2188,3466535.165,115,-398.9990323,,-2.316879064
1,7,740265.7956,3466555.667,138,-399.9295944,,-2.529883379
1,8,740255.3724,3466576.17,161,-400.9458152,,-2.679969574
1,9,740244.9491,3466596.673,184,-402.0224092,,-2.745597169
1,10,740234.5259,3466617.175,207,-403.1254069,,-2.725286922
1,11,740224.1027,3466637.678,230,-404.220233,,-2.588844385
1,12,740213.6794,3466658.18,253,-405.2601695,,-2.33303174
1,13,740203.2562,3466678.683,276,-406.1972264,,-2.056270238
1,14,740192.833,3466699.186,299,-407.0230208,,-1.552755107
1,15,740182.4097,3466719.688,322,-407.6464893,,-1.025290329
1,16,740171.9865,3466740.191,345,-408.0581111,,-0.392780155
1,17,740161.5633,3466760.693,368,-408.2157857,,-1.396389588
1,18,740151.1401,3466781.196,391,-408.7764434,,-1.937219944
1,19,740140.7168,3466801.699,414,-409.5543898,,-2.252136466
1,20,740130.2936,3466822.201,437,-410.4589212,,-2.394762297
1,21,740119.8704,3466842.704,460,-411.4208006,,-2.334307444
1,22,740109.4471,3466863.206,483,-412.3583704,,-1.928523609
1,23,740099.0239,3466883.709,506,-413.1328219,,-2.141266834
1,24,740088.6007,3466904.211,529,-413.9927819,,-2.527937542
1,25,740078.1774,3466924.714,552,-415.0082201,,-2.573036208
1,26,740067.7542,3466945.217,575,-416.0417979,,-2.28593422
1,27,740057.331,3466965.719,598,-416.9599179,,-1.560926318
1,28,740046.9077,3466986.222,621,-417.586669,,-2.007444189
1,29,740036.4845,3467006.724,644,-418.3928386,,-2.459025985
1,30,740026.0613,3467027.227,667,-419.3805614,,-2.202908171
1,31,740015.6381,3467047.73,690,-420.2653014,,-2.014011751
1,32,740005.2148,3467068.232,713,-421.0741107,,-1.903625996
1,33,739994.7916,3467088.735,736,-421.8385565,,-0.629958878
1,34,739984.3684,3467109.237,759,-422.0914484,,-0.562169949
1,35,739973.9451,3467129.74,782,-422.3171251,,-1.556421855
1,36,739963.5219,3467150.243,805,-422.9420666,,-1.766624566
1,37,739953.0987,3467170.745,828,-423.65146,,-1.268359095
1,38,739942.6754,3467191.248,851,-424.1606951,,-1.223454893
