prof_id,rec_id,x,y,cds2d,DSM16_bath,cds3d_1,slopd_1
1,1,741154.064,3467213.619,0,1.222046992,0,-5.118545442
1,2,741140.2486,3467232.007,23,-0.838152455,23.0920857,-5.909696092
1,3,741126.4332,3467250.395,46,-3.21890514,46.21497443,-5.85072316
1,4,741112.6179,3467268.784,69,-5.575733466,69.33541213,-5.023073972
1,5,741098.8025,3467287.172,92,-7.597306441,92.42408376,-3.13799099
1,6,741084.9871,3467305.561,115,-8.858237758,115.4586219,1.12824025
1,7,741071.1717,3467323.949,138,-8.405274547,138.4630818,2.3728031
1,8,741057.3563,3467342.338,161,-7.452225429,161.4828191,1.5651084
1,9,741043.5409,3467360.726,184,-6.823794335,184.4914028,-0.439845998
1,10,741029.7255,3467379.115,207,-7.000363303,207.4920805,0.152524399
1,11,741015.9102,3467397.503,230,-6.939135941,230.492162,0.934639149
1,12,741002.0948,3467415.891,253,-6.563914458,253.4952225,3.911266413
1,13,740988.2794,3467434.28,276,-4.991388053,276.5489172,3.429796691
1,14,740974.464,3467452.668,299,-3.612932521,299.5901876,2.276291211
1,15,740960.6486,3467471.057,322,-2.698689608,322.6083508,0.710636498
1,16,740946.8332,3467489.445,345,-2.413407206,345.61012,0.505137784
1,17,740933.0178,3467507.834,368,-2.210626649,368.6110139,-0.720829166
1,18,740919.2024,3467526.222,391,-2.500001289,391.6128342,-0.968883405
1,19,740905.3871,3467544.611,414,-2.888973092,414.6161231,-0.201110927
1,20,740891.5717,3467562.999,437,-2.969704524,437.6162648,0.778909228
1,21,740877.7563,3467581.388,460,-2.657011057,460.6183903,0.961605979
1,22,740863.9409,3467599.776,483,-2.270961429,483.6216299,0.741518686
1,23,740850.1255,3467618.164,506,-1.973280131,506.6235562,0.809533386
1,24,740836.3101,3467636.553,529,-1.648290976,529.6258522,-0.172142352
1,25,740822.4947,3467654.941,552,-1.717393553,552.625956,-0.151560771
1,26,740808.6794,3467673.33,575,-1.778234088,575.6260364,0.011977701
1,27,740794.864,3467691.718,598,-1.77342593,598.626037,0.059703205
1,28,740781.0486,3467710.107,621,-1.749459519,621.6260494,-0.561645815
1,29,740767.2332,3467728.495,644,-1.974925821,644.6271545,-1.203194913
1,30,740753.4178,3467746.884,667,-2.457990225,667.6322268,-0.500609956
1,31,740739.6024,3467765.272,690,-2.658953055,690.6331048,0.422174144
1,32,740725.787,3467783.66,713,-2.489478425,713.6337291,-0.259293181
1,33,740711.9716,3467802.049,736,-2.59356609,736.6339647,0.185813539
1,34,740698.1563,3467820.437,759,-2.518975493,759.6340856,1.113492382
1,35,740684.3409,3467838.826,782,-2.071934722,782.6384297,1.412721045
1,36,740670.5255,3467857.214,805,-1.504717197,805.6454229,0.516701713
1,37,740656.7101,3467875.603,828,-1.297294213,828.6463581,-0.485924612
1,38,740642.8947,3467893.991,851,-1.492361531,851.6471853,-0.510258609
1,39,740629.0793,3467912.38,874,-1.69719788,874.6480974,0.081100956
1,40,740615.2639,3467930.768,897,-1.664641848,897.6481205,0.599424363
1,41,740601.4486,3467949.157,920,-1.424008707,920.6493792,0.708110671
1,42,740587.6332,3467967.545,943,-1.139740392,943.6511359,0.571192016
1,43,740573.8178,3467985.933,966,-0.910441625,966.6522788,0.697627761
1,44,740560.0024,3468004.322,989,-0.630382053,989.6539839,0.738483584
1,45,740546.187,3468022.71,1012,-0.333919326,1012.655894,0.263651032
1,46,740532.3716,3468041.099,1035,-0.228082272,1035.656138,-0.25772536
1,47,740518.5562,3468059.487,1058,-0.33154056,1058.656371,0.234985312
